event,game_time,home_team,away_team,market_key,market_name,period,team_side,line,price_home,price_away,over_price,under_price,is_alternate,price,threshold,range_low,range_high,range_type,total_line,spread_line,total_side,winner,combo,ht_result,ft_result,tie,side,ev_units
Tampa Bay Buccaneers @ Seattle Seahawks,1759694700000,Seahawks,Buccaneers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Tampa Bay Buccaneers @ Seattle Seahawks,1759694700000,Seahawks,Buccaneers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Tampa Bay Buccaneers @ Seattle Seahawks,1759694700000,Seahawks,Buccaneers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Tennessee Titans @ Arizona Cardinals,1759694700000,Cardinals,Titans,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Tennessee Titans @ Arizona Cardinals,1759694700000,Cardinals,Titans,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Tennessee Titans @ Arizona Cardinals,1759694700000,Cardinals,Titans,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Tennessee Titans @ Arizona Cardinals,1759694700000,Cardinals,Titans,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Tennessee Titans @ Arizona Cardinals,1759694700000,Cardinals,Titans,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Tennessee Titans @ Arizona Cardinals,1759694700000,Cardinals,Titans,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Tennessee Titans @ Arizona Cardinals,1759694700000,Cardinals,Titans,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Tennessee Titans @ Arizona Cardinals,1759694700000,Cardinals,Titans,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Detroit Lions @ Cincinnati Bengals,1759695900000,Bengals,Lions,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Detroit Lions @ Cincinnati Bengals,1759695900000,Bengals,Lions,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Detroit Lions @ Cincinnati Bengals,1759695900000,Bengals,Lions,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Detroit Lions @ Cincinnati Bengals,1759695900000,Bengals,Lions,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Detroit Lions @ Cincinnati Bengals,1759695900000,Bengals,Lions,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Detroit Lions @ Cincinnati Bengals,1759695900000,Bengals,Lions,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Detroit Lions @ Cincinnati Bengals,1759695900000,Bengals,Lions,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Detroit Lions @ Cincinnati Bengals,1759695900000,Bengals,Lions,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Washington Commanders @ Los Angeles Chargers,1759695900000,Chargers,Commanders,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Washington Commanders @ Los Angeles Chargers,1759695900000,Chargers,Commanders,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Washington Commanders @ Los Angeles Chargers,1759695900000,Chargers,Commanders,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Washington Commanders @ Los Angeles Chargers,1759695900000,Chargers,Commanders,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Washington Commanders @ Los Angeles Chargers,1759695900000,Chargers,Commanders,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Washington Commanders @ Los Angeles Chargers,1759695900000,Chargers,Commanders,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Washington Commanders @ Los Angeles Chargers,1759695900000,Chargers,Commanders,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Washington Commanders @ Los Angeles Chargers,1759695900000,Chargers,Commanders,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
New England Patriots @ Buffalo Bills,1759710000000,Bills,Patriots,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
New England Patriots @ Buffalo Bills,1759710000000,Bills,Patriots,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
New England Patriots @ Buffalo Bills,1759710000000,Bills,Patriots,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
New England Patriots @ Buffalo Bills,1759710000000,Bills,Patriots,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
New England Patriots @ Buffalo Bills,1759710000000,Bills,Patriots,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
New England Patriots @ Buffalo Bills,1759710000000,Bills,Patriots,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
New England Patriots @ Buffalo Bills,1759710000000,Bills,Patriots,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
New England Patriots @ Buffalo Bills,1759710000000,Bills,Patriots,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Kansas City Chiefs @ Jacksonville Jaguars,1759796100000,Jaguars,Chiefs,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Kansas City Chiefs @ Jacksonville Jaguars,1759796100000,Jaguars,Chiefs,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Kansas City Chiefs @ Jacksonville Jaguars,1759796100000,Jaguars,Chiefs,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Kansas City Chiefs @ Jacksonville Jaguars,1759796100000,Jaguars,Chiefs,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Philadelphia Eagles @ New York Giants,1760055300000,Giants,Eagles,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Philadelphia Eagles @ New York Giants,1760055300000,Giants,Eagles,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Arizona Cardinals @ Indianapolis Colts,1760288400000,Colts,Cardinals,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Arizona Cardinals @ Indianapolis Colts,1760288400000,Colts,Cardinals,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Cleveland Browns @ Pittsburgh Steelers,1760288400000,Steelers,Browns,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Cleveland Browns @ Pittsburgh Steelers,1760288400000,Steelers,Browns,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Dallas Cowboys @ Carolina Panthers,1760288400000,Panthers,Cowboys,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Dallas Cowboys @ Carolina Panthers,1760288400000,Panthers,Cowboys,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Los Angeles Chargers @ Miami Dolphins,1760288400000,Dolphins,Chargers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Los Angeles Chargers @ Miami Dolphins,1760288400000,Dolphins,Chargers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
San Francisco 49ers @ Tampa Bay Buccaneers,1760288400000,Buccaneers,49ers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
San Francisco 49ers @ Tampa Bay Buccaneers,1760288400000,Buccaneers,49ers,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Seattle Seahawks @ Jacksonville Jaguars,1760288400000,Jaguars,Seahawks,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Seattle Seahawks @ Jacksonville Jaguars,1760288400000,Jaguars,Seahawks,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Tennessee Titans @ Las Vegas Raiders,1760299500000,Raiders,Titans,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Tennessee Titans @ Las Vegas Raiders,1760299500000,Raiders,Titans,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Cincinnati Bengals @ Green Bay Packers,1760300700000,Packers,Bengals,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Cincinnati Bengals @ Green Bay Packers,1760300700000,Packers,Bengals,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
New England Patriots @ New Orleans Saints,1760300700000,Saints,Patriots,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
New England Patriots @ New Orleans Saints,1760300700000,Saints,Patriots,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Detroit Lions @ Kansas City Chiefs,1760314800000,Chiefs,Lions,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Detroit Lions @ Kansas City Chiefs,1760314800000,Chiefs,Lions,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Buffalo Bills @ Atlanta Falcons,1760397300000,Falcons,Bills,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Buffalo Bills @ Atlanta Falcons,1760397300000,Falcons,Bills,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
Chicago Bears @ Washington Commanders,1760400900000,Commanders,Bears,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,home,
Chicago Bears @ Washington Commanders,1760400900000,Commanders,Bears,moneyline,Moneyline,G,,,,,,,False,,,,,,,,,,,,,,away,
